StoreCountry,ProductID,Quantity
AUS,1284651161701379667,2.0
AUS,6076274819885027797,2.0
AUS,6019386668821120661,2.0
AUS,2122575437123245322,2.0
AUS,5901681811213086415,2.0
AUS,5195625195157272294,2.0
AUS,3850091287569973983,1.0
AUS,7723338481459021739,3.0
AUS,310504000978060041,2.0
AUS,1224535603186042553,1.0
AUS,3274981684168807084,1.0
AUS,7148728138092923609,3.0
AUS,3570508915410089733,5.0
AUS,9039906805668372682,2.0
AUS,4101272015341455626,3.0
AUS,8523563856621849116,1.0
AUS,7169400755031740456,4.0
AUS,2798425170119415457,1.0
AUS,4362173865498922863,3.0
AUS,2563641782809599442,9.0
AUS,3248591529249246205,2.0
AUS,8027790315748899878,1.0
AUS,2484426330278565590,1.0
AUS,9076754257926568047,8.0
AUS,6482884745456117348,4.0
AUS,7815688668119566373,8.0
AUS,7300912618336455579,5.0
AUS,4798886082429118537,3.0
AUS,2629328664601056753,1.0
AUS,4827741193778678002,1.0
AUS,5639013180246983726,1.0
AUS,6897843499542700439,3.0
AUS,1046423781721787142,3.0
AUS,5262157088963475145,4.0
AUS,242683482797170949,3.0
AUS,6251893006045785140,11.0
AUS,1248921336001613532,6.0
AUS,2055861371541404936,2.0
AUS,4238656688637774320,6.0
AUS,3345699187004997902,9.0
AUS,6723943856453481381,6.0
AUS,5200159042281972891,1.0
AUS,754528437755859520,7.0
AUS,2041478808931745909,7.0
AUS,5913659098265747766,10.0
AUS,1611036289651325048,17.0
AUS,5882132375842850937,8.0
AUS,5049904272758242570,11.0
AUS,3459829127498786732,1.0
AUS,5598035501773655940,1.0
AUS,7655326191773505535,3.0
AUS,8235202589606348774,2.0
AUS,2061022043469864833,5.0
AUS,4552076028035911075,12.0
AUS,6065725237149809862,3.0
AUS,4866703020530951596,4.0
AUS,8089613219879312990,14.0
AUS,7697240709100691344,8.0
AUS,8863088790624591833,4.0
AUS,8635998205904575915,3.0
AUS,3372001935688262746,6.0
AUS,7191926660451464548,5.0
AUS,3624698321219401963,6.0
AUS,6535436876635006589,9.0
AUS,9018773893309376179,5.0
AUS,5190110054650575791,2.0
AUS,4125882397729379736,2.0
AUS,8193836411099087368,23.0
AUS,7580080202205416736,14.0
AUS,3507857352677111620,6.0
AUS,4283274759536068728,7.0
AUS,1607208898116947879,8.0
AUS,3260004767786243986,14.0
AUS,7158242418883574433,1.0
AUS,677173512563844927,4.0
AUS,2574451597753930800,1.0
AUS,5963783148639042995,11.0
AUS,1547948263425675420,3.0
AUS,5626151450577313519,4.0
AUS,5420036469456976062,9.0
AUS,8633970783723768142,4.0
AUS,8701529319718465053,4.0
AUS,3752651122331942010,1.0
AUS,725090478442655783,5.0
AUS,6728311785812314941,8.0
AUS,7738180868254504677,8.0
AUS,5812248849497693816,1.0
AUS,6083803135063214876,4.0
AUS,5951890699392809148,2.0
AUS,1782725336795956675,6.0
AUS,8269905252736129930,8.0
AUS,6811943615573632999,10.0
AUS,3810987776110928266,7.0
AUS,601964285495169615,6.0
AUS,9087063430774507572,5.0
AUS,1249310919251146473,1.0
AUS,726448763633718668,2.0
AUS,3523738896669317279,5.0
AUS,3059878530755871227,1.0
AUS,1889798820687368816,3.0
AUS,6826874421979783985,5.0
AUS,4064385223584203811,5.0
AUS,7295172355286155237,8.0
AUS,7838463387892080914,5.0
AUS,7649136396163044482,4.0
AUS,3968301849712833804,3.0
AUS,2566959008187278527,5.0
AUS,6313624011728899683,6.0
AUS,6340857046265281758,4.0
AUS,7587080636583425625,2.0
AUS,4626113440578421959,1.0
AUS,3341075720212608809,1.0
AUS,6336694983052926462,1.0
AUS,371811801400042316,1.0
AUS,420190801502144988,1.0
AUS,3856042724837831215,3.0
AUS,2431019348482977962,1.0
AUS,6597160625254705578,1.0
AUS,433305962792463234,1.0
AUS,1946075950316678592,1.0
AUS,2940617559916201777,1.0
AUS,7750048720317737396,1.0
AUS,1990619891300441187,1.0
AUS,2679005954892068029,2.0
AUS,8655774069465109562,1.0
AUS,3528658041767026869,1.0
AUS,74795492307036404,1.0
AUS,4570473627548235968,1.0
AUS,8318543841654641737,1.0
AUS,8928970896646967750,3.0
AUS,1232022298390615667,1.0
AUS,4115752827992318864,1.0
AUS,435204884092220296,1.0
AUS,5107339050376494642,1.0
AUS,744586013932869193,1.0
AUS,3633827562036171352,1.0
AUS,6386948631636963854,1.0
AUS,559212265498211788,1.0
AUS,5281211564589875688,1.0
AUS,4904897224532951442,1.0
AUS,496156370936001681,2.0
AUS,5128231841501954596,1.0
AUS,5151702197139733921,1.0
AUS,702437779577557545,2.0
AUS,5117321060527662633,4.0
AUS,5433331762151765447,4.0
AUS,8780870639211591156,8.0
AUS,2516260215095640540,8.0
AUS,7813087297977529345,4.0
AUS,1733613802941949717,2.0
AUS,971357693003898981,5.0
AUS,6296320673881097813,4.0
AUS,8607078327708991606,6.0
AUS,6262178813177834290,2.0
AUS,1496134395843828904,1.0
AUS,7265158347628021533,4.0
AUS,1933818136927246439,2.0
AUS,8674857417020205686,4.0
AUS,3796346962178547994,4.0
AUS,2661859349742176699,2.0
AUS,5719870452395734580,2.0
AUS,6088425488095172121,2.0
AUS,2276115271752941181,4.0
AUS,4836551652769455723,7.0
AUS,4929417120885729099,1.0
AUS,6498838174051831962,5.0
AUS,278762280759113013,5.0
AUS,2583945293029881415,7.0
AUS,8470321615157811410,1.0
AUS,7739301241196141043,4.0
AUS,4244532601371399091,13.0
AUS,7141266226709396452,9.0
AUS,7294998853362109311,2.0
AUS,4984046709438781224,4.0
AUS,92066231831743355,5.0
AUS,1807418090523306919,5.0
